id,snippet,contentDetails
"{'kind': 'youtube#video', 'videoId': 'gIaIOSB0wuc'}","{'publishedAt': '2024-06-14T18:35:35Z', 'channelId': 'UCIe8cgTx8GgD_12D0WTv1dw', 'title': 'Master Intermediate SQL: Advanced Queries and Joins with MySQL (Part 2 of the Series)', 'description': 'Part one of the series: SQL for Beginners: Master Basic Queries with MySQL and Power BI Integration ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/gIaIOSB0wuc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gIaIOSB0wuc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gIaIOSB0wuc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Ayotunde Ajibola', 'liveBroadcastContent': 'none', 'publishTime': '2024-06-14T18:35:35Z'}","{'duration': 'PT11M53S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': '16LT-6Jy2Ww'}","{'publishedAt': '2024-06-11T11:48:16Z', 'channelId': 'UCXWyf8MMS4c2NUDO1H6RBiA', 'title': 'How to use String Functions In MYSQL | Intermediate SQL Tutorial', 'description': ""Welcome to our Intermediate SQL Tutorial, where we dive into the essential string functions! In this video, you'll learn how to ..."", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/16LT-6Jy2Ww/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/16LT-6Jy2Ww/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/16LT-6Jy2Ww/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'CodeMafians', 'liveBroadcastContent': 'none', 'publishTime': '2024-06-11T11:48:16Z'}","{'duration': 'PT11M12S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'dPN-p321I5I'}","{'publishedAt': '2024-05-09T14:48:10Z', 'channelId': 'UCW2QT_meWyQuajwPYbwrIyw', 'title': 'Bangla MySQL database &amp; SQL tutorial for beginner to Intermediate 2023', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/dPN-p321I5I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dPN-p321I5I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dPN-p321I5I/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'M. R. AMIN CREATIVE IT CORNER', 'liveBroadcastContent': 'none', 'publishTime': '2024-05-09T14:48:10Z'}","{'duration': 'PT4H17M12S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': '7NBt0V8ebGk'}","{'publishedAt': '2024-02-27T13:00:08Z', 'channelId': 'UC7cs8q-gJRlGwj4A8OmCmXg', 'title': 'Window Functions in MySQL | Intermediate MySQL', 'description': 'Full MySQL Course: https://www.analystbuilder.com/courses/mysql-for-data-analytics In this lesson we are going to take a look at ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/7NBt0V8ebGk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7NBt0V8ebGk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7NBt0V8ebGk/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Alex The Analyst', 'liveBroadcastContent': 'none', 'publishTime': '2024-02-27T13:00:08Z'}","{'duration': 'PT13M29S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'Vj6RqA_X-IE'}","{'publishedAt': '2024-02-20T13:00:32Z', 'channelId': 'UC7cs8q-gJRlGwj4A8OmCmXg', 'title': 'Subqueries in MySQL | Intermediate MySQL', 'description': 'Full MySQL Course: https://www.analystbuilder.com/courses/mysql-for-data-analytics In this lesson we are going to take a look at ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Vj6RqA_X-IE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Vj6RqA_X-IE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Vj6RqA_X-IE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Alex The Analyst', 'liveBroadcastContent': 'none', 'publishTime': '2024-02-20T13:00:32Z'}","{'duration': 'PT11M1S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'RYIiOG4LsvQ'}","{'publishedAt': '2024-02-13T13:00:19Z', 'channelId': 'UC7cs8q-gJRlGwj4A8OmCmXg', 'title': 'Case Statements in MySQL | Intermediate MySQL', 'description': 'Full MySQL Course: https://www.analystbuilder.com/courses/mysql-for-data-analytics In this lesson we are going to take a look at ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/RYIiOG4LsvQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RYIiOG4LsvQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RYIiOG4LsvQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Alex The Analyst', 'liveBroadcastContent': 'none', 'publishTime': '2024-02-13T13:00:19Z'}","{'duration': 'PT8M53S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'KRXSJb9ql1Y'}","{'publishedAt': '2024-01-30T13:00:17Z', 'channelId': 'UC7cs8q-gJRlGwj4A8OmCmXg', 'title': 'String Functions in MySQL | Intermediate MySQL Series', 'description': 'Full MySQL Course: https://www.analystbuilder.com/courses/mysql-for-data-analytics In this lesson we are going to take a look at ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/KRXSJb9ql1Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KRXSJb9ql1Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KRXSJb9ql1Y/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Alex The Analyst', 'liveBroadcastContent': 'none', 'publishTime': '2024-01-30T13:00:17Z'}","{'duration': 'PT11M54S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'lXQzD09BOH0'}","{'publishedAt': '2024-01-16T13:00:42Z', 'channelId': 'UC7cs8q-gJRlGwj4A8OmCmXg', 'title': 'Joins in MySQL | Intermediate MySQL', 'description': 'Full MySQL Course: https://www.analystbuilder.com/courses/mysql-for-data-analytics In this lesson we are going to take a look at ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/lXQzD09BOH0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lXQzD09BOH0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lXQzD09BOH0/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Alex The Analyst', 'liveBroadcastContent': 'none', 'publishTime': '2024-01-16T13:00:42Z'}","{'duration': 'PT17M11S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'wgRwITQHszU'}","{'publishedAt': '2023-10-31T12:00:54Z', 'channelId': 'UC7cs8q-gJRlGwj4A8OmCmXg', 'title': 'Installing MySQL and Creating Databases | MySQL for Beginners', 'description': 'In this lesson we are going to install MySQL and create our database. Download MySQL here: ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/wgRwITQHszU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wgRwITQHszU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wgRwITQHszU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Alex The Analyst', 'liveBroadcastContent': 'none', 'publishTime': '2023-10-31T12:00:54Z'}","{'duration': 'PT12M4S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'Hy3qbMAoEJk'}","{'publishedAt': '2023-10-28T19:27:29Z', 'channelId': 'UCOwaE3fVOZSRujo2OPDKCHg', 'title': 'Master MySQL in ONE VIDEO: Beginner to Advanced Course For Beginners in Hindi | MPrashant', 'description': 'MPrashant #mysql #sql #database My MySQL PDF notes! Get yours at a special price of 39/- only!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Hy3qbMAoEJk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Hy3qbMAoEJk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Hy3qbMAoEJk/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'MPrashant TECH', 'liveBroadcastContent': 'none', 'publishTime': '2023-10-28T19:27:29Z'}","{'duration': 'PT6H59M7S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
